epoch,train_loss,val_loss,lr
1,0.0006257843361718279,0.00047755370731465517,0.001
2,0.00037540204484746336,0.00034549652016721663,0.001
3,0.0003249252520446542,0.000303713770408649,0.001
4,0.0003021054640571079,0.0003004501576651819,0.001
5,0.00028942147376314074,0.00030149385012919085,0.001
6,0.0002790342724661779,0.00027644937916193157,0.001
7,0.00027373636304626244,0.00028717841574689375,0.001
8,0.0002652326988553909,0.0002693298485246487,0.001
9,0.0002614721422353548,0.0002719303802587092,0.001
10,0.0002569847061437545,0.00025680796534288675,0.001
11,0.00025372745212030705,0.0002574103878578171,0.001
12,0.0002492240832004185,0.00027661792846629397,0.001
13,0.0002488660833759936,0.0002589190230355598,0.001
14,0.00024392970040286124,0.00025810724968323485,0.001
