epoch,train_loss,val_loss,lr
1,0.0015405940685871212,0.0010277916898485274,0.001
2,0.0008640942816004809,0.0009889090422075242,0.001
3,0.0006884989624718355,0.0007727705012075603,0.001
4,0.0006501403133204968,0.0006175660568987951,0.001
5,0.0006147615132319916,0.0005464566289447248,0.001
6,0.0005999021146629517,0.0005337796034291386,0.001
7,0.0005714224203825248,0.0005650001694448292,0.001
8,0.0005612035161008712,0.0006111674261046573,0.001
9,0.0005492717938261304,0.0005375375301809981,0.001
10,0.0005405199728728396,0.0005567619111388922,0.001
11,0.0005196680680155653,0.0005136748129734769,0.001
12,0.0005262918522244755,0.0004785766708664596,0.001
13,0.0004966377783061071,0.0005150287889409811,0.001
14,0.0005017357843673062,0.0004786863122717477,0.001
15,0.0004934812097313189,0.0004792928020469844,0.001
16,0.00047572345588699623,0.00046859347901772707,0.001
17,0.00047050676956206017,0.0004743541724747047,0.001
18,0.00046849604810441856,0.00044298689579591155,0.001
19,0.00046892746209618885,0.00047476889798417685,0.001
20,0.000452032943676784,0.0005943547014612704,0.001
21,0.0004556477331985196,0.00048761697835288944,0.001
22,0.0004461147993534916,0.00043656995170749725,0.001
23,0.0004276233594527512,0.00045978904410731047,0.001
