epoch,train_loss,val_loss,lr
1,0.8703257201446427,0.49764524221420287,0.001
2,0.3606414457889719,0.3134040495753288,0.001
3,0.28780630062826557,0.2660650706291199,0.001
4,0.2562365183537757,0.24487761676311492,0.001
5,0.2377061012016001,0.24030967622995378,0.001
6,0.22434386142501325,0.22312692791223526,0.001
7,0.2134145898085953,0.23693814128637314,0.001
8,0.20496294151376995,0.2083590617775917,0.001
9,0.196909790501149,0.1896835285425186,0.001
10,0.1566982870162637,0.17753242656588555,0.001
11,0.14034160825201256,0.15135880008339883,0.001
12,0.13397615214163808,0.14429519683122635,0.001
13,0.12842496796213215,0.157278793156147,0.001
14,0.1265182696935103,0.14387378424406053,0.001
15,0.12245377906055663,0.1274516798555851,0.001
16,0.12087471925211374,0.13914851784706117,0.001
17,0.1178763346583504,0.12841893151402473,0.001
18,0.11553037857718339,0.12470502853393554,0.001
19,0.11318715054993377,0.1164967281371355,0.001
20,0.11237665887934592,0.13874413073062897,0.001
21,0.11137503945591674,0.12063655883073807,0.001
22,0.11094934869281671,0.13010856807231902,0.001
23,0.10807383223515167,0.11566537089645862,0.001
24,0.10710727182289065,0.11967247523367405,0.001
25,0.10389932024258154,0.1144140200316906,0.001
26,0.10480111690319648,0.10851038902997971,0.001
27,0.10343126765756494,0.10999678917229176,0.001
28,0.10153734629114569,0.13502685993909835,0.001
29,0.10146390545410841,0.11393738970160484,0.001
30,0.09994586966367382,0.10331289693713189,0.001
31,0.09779742905424801,0.10827757731080055,0.001
32,0.0971518495913457,0.12291902586817742,0.001
33,0.09678785747186805,0.10808435916900634,0.001
34,0.09474736304408071,0.12927676767110824,0.001
35,0.09489895676823978,0.1206829997897148,0.001
36,0.09419164836080587,0.12058331370353699,0.0005
37,0.07739364988600164,0.09538318373262883,0.0005
38,0.07588954312062073,0.09082938328385354,0.0005
39,0.0739014843503885,0.09315883100032807,0.0005
40,0.0745085812666099,0.09098836123943328,0.0005
41,0.07284867693434911,0.09183707796037197,0.0005
42,0.07268109642947564,0.08860580004751682,0.0005
43,0.07251553016053106,0.09528411217033864,0.0005
44,0.07135665769491231,0.08772310949862003,0.0005
45,0.07051299006744015,0.09062032327055931,0.0005
46,0.07059480307109478,0.09252286665141582,0.0005
47,0.07088966709044245,0.0913546397536993,0.0005
48,0.07014616007951123,0.08580856308341027,0.0005
49,0.0686881190639378,0.08651986062526702,0.0005
50,0.06873986536091325,0.08940077610313893,0.0005
51,0.06730542177654276,0.0842397616058588,0.0005
52,0.0670124698079094,0.08681044355034828,0.0005
53,0.06761557613076134,0.087497803196311,0.0005
54,0.06710459903409385,0.08362197130918503,0.0005
55,0.0668237606668688,0.08779981300234795,0.0005
56,0.06669907090771529,0.09590716615319252,0.0005
57,0.06619535170508054,0.10503492802381516,0.0005
58,0.06540252091457145,0.09058619923889637,0.0005
59,0.06569913735845273,0.0902502853423357,0.0005
60,0.06487614508272974,0.09312329292297364,0.00025
