epoch,train_loss,train_loss_noise,train_loss_physics,train_loss_residual,val_loss,val_dei_p95,lr
1,0.21843978298533243,0.04162355568824393,0.040403430642535036,2.0095906007334246e-05,0.16401132941246033,0.10310456558831838,0.0001
2,0.1624773841802821,0.022740637003961537,0.036875749439799134,1.7540988769249557e-05,0.15213537126779555,0.10310456558831838,0.0001
3,0.1562082521705214,0.022270564462594462,0.036728184794856594,1.7128833772201484e-05,0.15117254108190536,0.10310456558831838,0.0001
4,0.15297847963016642,0.022033495837132686,0.036679296169676176,1.6930103997734776e-05,0.1572316126525402,0.10310456558831838,0.0001
5,0.15193727196065665,0.02200525358902535,0.03700478020734044,1.6913071933709263e-05,0.14529250636696817,0.10310456558831838,0.0001
6,0.15288143888153513,0.02156136097913288,0.037001117739178906,1.7079456446640583e-05,0.15356558978557586,0.10310456558831838,0.0001
7,0.15254628263815284,0.021462383524825174,0.03736834176925798,1.7054562287819448e-05,0.1486630892753601,0.10310456558831838,0.0001
8,0.15385500800416427,0.021307569021446888,0.037646718074917256,1.7145853515559505e-05,0.15776900127530097,0.10310456558831838,0.0001
9,0.15141218873712953,0.021476542947951843,0.036486600271288167,1.6903940360773374e-05,0.15024897828698158,0.10310456558831838,0.0001
10,0.1515812007773053,0.021400201204938418,0.036810702419493295,1.700632105167039e-05,0.14617666661739348,0.10310456558831838,0.0001
11,0.15099193350810194,0.02118501287213956,0.036669117936343955,1.6879401868927345e-05,0.14854943215847016,0.10310456558831838,0.0001
12,0.1513124625214222,0.021295559288375707,0.036880474412082365,1.687228914609015e-05,0.15672014892101288,0.10310456558831838,0.0001
13,0.15163522518493913,0.02123154840127938,0.0359482181159331,1.6960364662197577e-05,0.15192130357027053,0.10310456558831838,0.0001
14,0.15046343104506182,0.021122075527944047,0.03595956548149243,1.6851718458472208e-05,0.1488895210623741,0.10310456558831838,0.0001
15,0.15006202348015626,0.0212353554025907,0.036400510230836985,1.678146399285269e-05,0.15189374312758447,0.10310456558831838,0.0001
16,0.15118108816783538,0.021104548440819687,0.03629083265017354,1.693772003363847e-05,0.15087422281503676,0.10310456558831838,0.0001
17,0.15125987309372987,0.02117368199875083,0.03646577869895501,1.6942817013434423e-05,0.14348711922764779,0.10310456558831838,0.0001
18,0.15063816690284396,0.0211220778640899,0.036619784329274686,1.6966080487299246e-05,,,0.0001
19,0.15260048646492388,0.021009682662007385,0.03668155508768127,1.7084773376399753e-05,,,0.0001
20,0.15028428274711675,0.0210240658447899,0.03601627043736095,1.6798095443984053e-05,,,0.0001
21,0.15099753293926868,0.021284460656106573,0.0361931071820926,1.694518648752087e-05,,,0.0001
22,0.15033928139028627,0.02108202998209682,0.03650132490510924,1.684885450444205e-05,,,0.0001
23,0.15045157174645651,0.021042064521367653,0.03578927071615332,1.683849923394537e-05,,,0.0001
24,0.1506784416308708,0.020962360003800053,0.03660185842207235,1.6923738775042413e-05,,,0.0001
25,0.15064845289031564,0.021108452183655417,0.03611594722927658,1.6899076164155863e-05,,,0.0001
26,0.14991364269031318,0.021267671930613092,0.03681579661855054,1.6842713366162514e-05,,,0.0001
27,0.15065205157405198,0.02102182430186958,0.03615064661901268,1.692319229504536e-05,,,0.0001
28,0.1502249619989383,0.021033196933473452,0.036121475504223656,1.6847482634653312e-05,,,0.0001
29,0.15118684339954797,0.021027736281129448,0.036100541109960804,1.7012452001389116e-05,,,0.0001
30,0.14990685994326064,0.02113537187923235,0.03638332544787558,1.6887871634607772e-05,,,0.0001
31,0.14969748691953594,0.0210053821914337,0.035647421176090634,1.679173565873792e-05,,,0.0001
32,0.15142539716780387,0.021042762676987684,0.03653667249614122,1.699995295235653e-05,,,0.0001
33,0.15153703948652203,0.020996625122052904,0.036787946123092025,1.69915049630645e-05,,,0.0001
34,0.1509932828502673,0.0210706209677651,0.03591655772975066,1.6961302791053883e-05,,,0.0001
35,0.14868744646170826,0.02115069905700482,0.03590727015124063,1.671139477629879e-05,,,0.0001
36,0.14963853140973082,0.021100232960116934,0.03639971852786243,1.6820719730637673e-05,,,0.0001
37,0.15052767705975056,0.02096485776390868,0.036068196838246566,1.6885183608470894e-05,,,0.0001
38,0.1508074480952438,0.021005307481018982,0.036630009095614105,1.6879741144710272e-05,,,0.0001
39,0.1511895008485526,0.020845875240429634,0.03596185665545901,1.6983476876681772e-05,,,0.0001
40,0.15040611159307288,0.020933854907926687,0.03652362749670391,1.6906517897466995e-05,,,0.0001
41,0.15130421905605881,0.020914905300827992,0.036775364927392494,1.7011246816983423e-05,,,0.0001
42,0.15006687721670275,0.021000373895320827,0.03617479969819487,1.6810833746392452e-05,,,0.0001
43,0.14982234423835872,0.020960542225194247,0.03588379835196448,1.682107411394675e-05,,,0.0001
44,0.15134543288336058,0.02105912508173322,0.036418067114600154,1.695940544883489e-05,,,0.0001
45,0.1505331933868403,0.02089924918744801,0.03678434008461194,1.6854556850954726e-05,,,0.0001
46,0.15146142136782206,0.020829206513654854,0.03649109545785476,1.6901636334515154e-05,,,0.0001
47,0.1509942317425402,0.020840728428898385,0.03581678575165068,1.6908754878922288e-05,,,0.0001
48,0.151675412180498,0.020887661225127953,0.03668972979823397,1.698926143408948e-05,,,0.0001
49,0.15019549672752117,0.020971787843370327,0.03652372484872281,1.690615610767097e-05,,,0.0001
50,0.15082040586217185,0.020889170095089334,0.03628208747847783,1.6856308794981165e-05,,,0.0001
51,0.1504872194475648,0.02075225308455953,0.0362739561167577,1.6820907564069234e-05,,,0.0001
52,0.14956625800905907,0.020823212635236156,0.03596548564941387,1.6736986216305202e-05,,,0.0001
53,0.1500407121856054,0.020810482139238203,0.03597857429597351,1.6811717410449456e-05,,,0.0001
54,0.15166480113322586,0.02101812938773873,0.036477042756220546,1.7063280095404138e-05,,,0.0001
