epoch,train_loss,val_loss,lr
1,2.4590188144433376,2.1210896968841553,0.001
2,1.961871131000294,1.8806943416595459,0.001
3,1.8855252030120555,1.8035611009597778,0.001
4,1.830588473916455,1.7841187739372253,0.001
5,1.7692800807431088,1.8279093718528747,0.001
6,1.7276497633770258,1.6963288640975953,0.001
7,1.677901469898545,1.6835668301582336,0.001
8,1.655129593931866,1.6363914895057678,0.001
9,1.6065550340145125,1.5942396306991578,0.001
10,1.5719298363133312,1.5542597961425781,0.001
11,1.5223236175297887,1.4625304436683655,0.001
12,1.4383668713898772,1.4289720845222473,0.001
13,1.3784514325937438,1.3633955788612366,0.001
14,1.3511427158257776,1.3814996981620788,0.001
15,1.297738624492077,1.2983240628242492,0.001
16,1.2802350474929167,1.2261419773101807,0.001
17,1.2420089419441993,1.1537561678886414,0.001
18,1.1914122478929834,1.1398636865615845,0.001
19,1.1761528444711609,1.1580152595043183,0.001
20,1.1707020050247108,1.139587814807892,0.001
21,1.1292645264454562,1.09160484790802,0.001
22,1.1200750438051192,1.1349539697170257,0.001
23,1.1067246992379327,1.078670576810837,0.001
24,1.1009315127876873,1.0367716944217682,0.001
25,1.0838851547401762,1.065570636987686,0.001
26,1.0724800871277498,1.0365440928936005,0.001
27,1.0650423426018019,1.0058002424240113,0.001
28,1.0506588601905489,1.0293058729171753,0.001
29,1.0394506268830412,1.0542331159114837,0.001
30,1.0301037380089262,0.998989245891571,0.001
31,1.0188519478044928,0.9642382323741913,0.001
32,1.016983843461833,1.0270419275760652,0.001
33,1.01379396307348,0.9420189225673675,0.001
34,0.9981570327121401,0.9932140111923218,0.001
35,1.002001408976738,1.0274375426769256,0.001
36,0.9949819093902504,0.9167911565303802,0.001
37,0.9908714910548946,0.9594025444984436,0.001
38,0.9881582956522803,0.9725914227962494,0.001
39,0.9781122318522296,0.9249209821224212,0.001
40,0.9733653287795256,0.9637509274482727,0.001
41,0.9886154496308529,0.9449703586101532,0.001
42,0.9633997679258437,0.934029266834259,0.0005
43,0.8969156397914244,0.8677892506122589,0.0005
44,0.8792603156381986,0.8526010036468505,0.0005
45,0.8657179664983492,0.8734057927131653,0.0005
46,0.8541731383864727,0.8289535427093506,0.0005
47,0.8484355079806614,0.8480808365345002,0.0005
48,0.8474871163015012,0.8439461886882782,0.0005
49,0.8449060946502268,0.8132269024848938,0.0005
50,0.8388854197982184,0.8812910974025726,0.0005
51,0.8351862731104347,0.8169986069202423,0.0005
52,0.828442446862407,0.8171579337120056,0.0005
53,0.8302425865573112,0.8618109250068664,0.0005
54,0.8360386502863181,0.865566018819809,0.0005
55,0.8226914124858098,0.8489883697032928,0.00025
56,0.7865428727383565,0.791565854549408,0.00025
57,0.7717843065257827,0.7592158639430999,0.00025
58,0.7667491512015613,0.7730345106124878,0.00025
59,0.762651853815273,0.7721427965164185,0.00025
60,0.7620429056712272,0.7749303579330444,0.00025
