epoch,train_loss,train_physics_loss,train_class_loss,train_n_accuracy,val_loss,val_physics_loss,val_class_loss,val_n_accuracy,lr
1,1.7832794639110565,1.3521748738765718,1.4370152404665948,0.38505,1.4739269971847535,1.0120560531616212,1.5395697383880615,0.404,0.0003
2,1.2586704969406128,0.9254978961110115,1.1105752887248992,0.5293,1.2258445706367493,0.9192107863426209,1.0221125974655152,0.569,0.0003
3,1.137929601407051,0.8292410846710205,1.0289616798460484,0.5619,1.133858057975769,0.8160201532840728,1.059459636449814,0.577,0.0003
4,1.0749455810070039,0.778249044752121,0.9889884164810181,0.5796,1.05198495388031,0.7672017841339112,0.9492771973609925,0.59,0.0003
5,1.03227559902668,0.7434863080859184,0.9626309307515621,0.58945,1.0196632966995238,0.7343581273555756,0.9510171778202057,0.601,0.0003
6,0.9956755978822708,0.7152202157497406,0.934851236486435,0.6012,0.9393060688972473,0.6750977206230163,0.8806944575309753,0.614,0.0003
7,0.9640470028877258,0.6908447473883629,0.9106741474628448,0.6049,0.9451612246036529,0.6846320462226868,0.8684305739402771,0.61,0.0003
8,0.9440520101189613,0.6755965819001197,0.894851391595602,0.6121,0.924236692905426,0.64747625207901,0.9225347723960876,0.596,0.0003
9,0.9287110953807831,0.6636627757549286,0.8834943621218204,0.6175,0.9276845664978027,0.6529766364097596,0.9156930775642395,0.614,0.0003
10,0.9117971732139587,0.649499924749136,0.8743241258651018,0.6247,0.8708823747634887,0.6119368892908096,0.8631515896320343,0.603,0.0003
11,0.8960831090211868,0.6388880982398987,0.8573166693150998,0.62805,0.8551684868335724,0.6064028284549713,0.8292188305854797,0.641,0.0003
12,0.8890811605453491,0.6328349565625191,0.8541539807200432,0.6266,0.8948617584705353,0.6371356177330018,0.8590870981216431,0.636,0.0003
13,0.8746552144765853,0.6220977152347564,0.8418583006799221,0.6337,0.8290875554084778,0.5909335042238235,0.7938468199968338,0.665,0.0003
14,0.866248921751976,0.6158525803983211,0.8346544398546218,0.63785,0.8667726664543152,0.6212879278659821,0.8182824348211288,0.645,0.0003
15,0.854161008656025,0.6067969742119312,0.8245467486798763,0.64035,0.8744593834877015,0.618807674407959,0.85217231798172,0.634,0.0003
16,0.8519150970458984,0.6041286040604115,0.8259549432903528,0.64325,0.8408610210418701,0.5942904028892517,0.8219020264148712,0.654,0.0003
17,0.8433678998827935,0.5980191748678684,0.8178290506869554,0.6447,0.8781534352302551,0.6112734024524689,0.8896000766754151,0.625,0.0003
18,0.8334997930169106,0.5922935482740402,0.8040207844942808,0.64855,0.8661076111793518,0.6071385533809662,0.8632301592826843,0.638,0.0003
19,0.8296884217977524,0.5883388177156449,0.8044986498057842,0.6522,0.8600454754829406,0.604176898598671,0.8528952249288559,0.631,0.00015
20,0.7629527011096477,0.5408034213662147,0.7404975736141205,0.67165,0.81302317237854,0.5796010308265686,0.7780737646818161,0.647,0.00015
21,0.7484796712756157,0.5305316970646381,0.7264932183682918,0.678,0.8003065609931945,0.5588395717144012,0.8048899307250976,0.657,0.00015
22,0.7423848782777787,0.5265653798818588,0.7193982999116182,0.68575,0.8014894258975983,0.5621432567834854,0.797820530295372,0.662,0.00015
23,0.7360950678110123,0.5221953696250915,0.7129989634603262,0.6869,0.7971456823348999,0.5621747244596481,0.7832365041971207,0.662,0.00015
24,0.7290671074986458,0.518254656624794,0.7027081420660019,0.6896,0.7952898099422455,0.5622103608846665,0.7769314725399017,0.657,0.00015
25,0.7282740762233734,0.5180657767534256,0.7006943041175604,0.6915,0.8135734524726868,0.5694367587566376,0.8137889502048492,0.665,0.00015
26,0.7182625765562057,0.5106972304522991,0.6918844611920416,0.6943,0.8024995572566986,0.5659110609292984,0.7886282793283462,0.665,0.00015
27,0.7157183348059655,0.5094109058022499,0.6876914013534784,0.6976,0.8013607051372528,0.566508660197258,0.7828401186466217,0.655,0.00015
28,0.7081883813619614,0.5041688045144082,0.6800652304857969,0.69805,0.8120762569904327,0.5737413011789322,0.7944498109817505,0.663,0.00015
29,0.7059307763576508,0.5036523402869701,0.6742614261254668,0.70525,0.8005672523975372,0.5601931500434876,0.8012469712495803,0.658,0.00015
30,0.6995612662434578,0.4986524238526821,0.6696961153864861,0.70225,0.7986629636287689,0.5647383072376251,0.7797488235235214,0.663,7.5e-05
31,0.6512287734270096,0.4664869204103947,0.6158061516284943,0.7237,0.8002150862216949,0.5601759269237518,0.8001304949522019,0.678,7.5e-05
32,0.640673040932417,0.45913073629140855,0.6051409907698632,0.72935,0.817736072063446,0.5619126334190369,0.8527447669506073,0.65,7.5e-05
33,0.634309532225132,0.45587481537461283,0.5947823665216565,0.73355,0.7964053416252136,0.5566969351768494,0.7990279960632324,0.663,7.5e-05
34,0.6283398015081882,0.4511665941387415,0.5905773336693645,0.7354,0.8460336885452271,0.5790034401416778,0.8901007893681526,0.643,7.5e-05
35,0.6222167564868927,0.4474125740617514,0.5826805860683322,0.74075,0.8320884013175964,0.5771796554327011,0.8496957761049271,0.656,7.5e-05
36,0.6140365635573865,0.44307718166112897,0.5698645845890045,0.74625,0.8396935369968415,0.5705792412757874,0.8970476315021515,0.65,3.75e-05
