epoch,train_loss,val_loss,lr
1,0.0037195871649576533,0.0023085942189209163,0.001
2,0.0023840797363144663,0.0018460150086320936,0.001
3,0.0015728291756060345,0.0010845136339776218,0.001
4,0.0012699009988594938,0.0009210029669338837,0.001
5,0.0011013150366057675,0.0010301895043812693,0.001
6,0.001035264899279226,0.0011957228276878596,0.001
7,0.0009173970896459062,0.000981816784478724,0.001
8,0.0009261705465900934,0.0008263943286146969,0.001
9,0.0008293244273996416,0.0007052998163271695,0.001
10,0.0008249510237292515,0.0012056360451970249,0.001
11,0.0007670313219938847,0.000649676468456164,0.001
12,0.0007476008061895003,0.0006399925937876105,0.001
13,0.0007274215633319283,0.0006232808867935091,0.001
14,0.0006914826064487771,0.0007154566037934273,0.001
15,0.0006696074873101992,0.0005851148697547615,0.001
16,0.0006567605599931125,0.0006230291415704414,0.001
17,0.0006325426253990697,0.0006115560978651047,0.001
18,0.000625760930249121,0.0005579932947875932,0.001
19,0.0006061900381450793,0.000638748601777479,0.001
20,0.0006078945157838976,0.000597615113365464,0.001
21,0.0005965653021464372,0.0006838134839199483,0.001
22,0.000575661108521776,0.0005620405392255634,0.001
23,0.0005785028249257,0.000588805217994377,0.001
24,0.0005669746962593483,0.0005178429721854627,0.001
25,0.0005615762907371587,0.0005226189020322635,0.001
26,0.0005465667336986726,0.0006087481166468933,0.001
27,0.0005390259652307981,0.0005414808500790968,0.001
