epoch,train_loss,val_loss,lr
1,0.010138544897973254,0.0006784672570777022,0.0003
2,0.007841545111544671,0.0006282683831476976,0.0003
3,0.007375253876339633,0.0006382619040012951,0.0003
4,0.007563593649471921,0.0006134859595765611,0.0003
5,0.007247555974238741,0.0006903655677368599,0.0003
6,0.007379041638286472,0.0007144595780003343,0.0003
7,0.0072186115856173365,0.0007247488866264503,0.0003
8,0.007122246067767633,0.0006180650273722315,0.0003
9,0.007386379781207865,0.000554724669431351,0.0003
10,0.007035479928024962,0.000640681994679783,0.0003
11,0.007137990897199761,0.0005590698399048831,0.0003
12,0.007111496922760447,0.0005486929301349889,0.0003
13,0.0070469972440461584,0.0005574247010776566,0.0003
14,0.007021116962600381,0.0005848643264644558,0.0003
15,0.007229195448405646,0.0005712583115960043,0.0003
16,0.007237532319662403,0.0005401197094692005,0.0003
17,0.007001585676058496,0.0005835076855931668,0.0003
