epoch,train_loss,train_physics_loss,train_class_loss,train_n_accuracy,val_loss,val_physics_loss,val_class_loss,val_n_accuracy,lr
1,1.7215345387005243,0.5714980665381107,1.4375455618807764,0.3888421052631579,1.342153718471527,0.43033226668834684,1.1397767913341523,0.5025,0.0005
2,1.3420144044590316,0.3840861973487568,1.1974102374078448,0.5107368421052632,1.1953916144371033,0.37041282683610915,1.0312234616279603,0.5925,0.0005
3,1.2512916449946587,0.3457593085739749,1.1319153993970617,0.5393684210526316,1.196162712574005,0.3573471415042877,1.048519456386566,0.5725,0.0005
4,1.2014265425929718,0.3216321683090544,1.0997429479553242,0.5530526315789474,1.1004068374633789,0.3057187566161156,0.9933600890636444,0.5975,0.0005
5,1.1739443408620076,0.3066973984116055,1.0840586592954418,0.5563157894736842,1.0974984788894653,0.30223785936832426,0.9940757536888123,0.605,0.0005
6,1.1578195370507962,0.2990120978969516,1.073509279851761,0.5658947368421052,1.0415484392642975,0.2787054985761642,0.953553661108017,0.63,0.0005
7,1.119900977195112,0.2856512000088138,1.0428122037313001,0.5772631578947368,1.1299991452693938,0.3040309730172157,1.032460201382637,0.5975,0.0005
8,1.1018229216738582,0.2782119933126952,1.0295136419159394,0.5814736842105264,1.0067350709438323,0.2687525677680969,0.9224781131744385,0.64,0.0005
9,1.0925154471738572,0.2746587945681429,1.0223208013357539,0.5835789473684211,1.290509226322174,0.29394317537546155,1.2457075357437133,0.53,0.0005
10,1.0912122190851554,0.27284872440326496,1.022954351974256,0.5868421052631579,1.0231713891029357,0.2706440195441246,0.9406591999530792,0.605,0.0005
11,1.0642681229696531,0.26631260909115023,0.9974443726994172,0.5870526315789474,1.0559217977523803,0.28414521932601927,0.9647207164764404,0.63,0.0005
12,1.0556178638078146,0.2624346215202652,0.9914790365957853,0.5955789473684211,1.0833491003513336,0.27279226362705233,1.0131960195302963,0.6025,0.0005
13,1.0466850959893428,0.25861926760010245,0.9850822671344786,0.6023157894736842,0.9921506989002228,0.25216340616345406,0.924984102845192,0.6525,0.0005
14,1.0390726736800036,0.2566267157832681,0.9780574312765992,0.6055789473684211,0.9962618017196655,0.25700541377067565,0.9240704745054245,0.6225,0.0005
15,1.0347937471938855,0.2539271273170457,0.9760832584240421,0.6063157894736843,1.0559049355983734,0.2657653570175171,0.9876744508743286,0.605,0.0005
16,1.0223470307911686,0.2505772127722851,0.9647122557315763,0.606421052631579,0.977408435344696,0.2470485171675682,0.9129498714208603,0.62,0.0005
17,1.0089482862991517,0.24725799744177346,0.9521128453866199,0.6103157894736843,1.0314272689819335,0.27376253753900526,0.9470809006690979,0.6475,0.0005
18,1.0041798424941522,0.24491403828867356,0.9490822404685747,0.6187368421052631,0.9753000342845917,0.25006598502397537,0.9065425443649292,0.6475,0.0005
19,0.9966977449629443,0.24339046725620725,0.9416340840133753,0.6172631578947368,1.0388076674938203,0.2713525915145874,0.959318830370903,0.62,0.0005
20,0.9896958517757329,0.24126881199202152,0.9355337832762738,0.6203157894736843,0.9760656929016114,0.25213163048028947,0.9049175596237182,0.6475,0.0005
21,0.9765059088140425,0.23911730082774604,0.9217357447101211,0.6261052631578947,0.9752140438556671,0.24920447736978532,0.9075119364261627,0.655,0.0005
22,0.969593407504687,0.2352098214882191,0.91797946713338,0.6308421052631579,1.0802207016944885,0.2801021757721901,1.0001481384038926,0.585,0.0005
23,0.9665760580161806,0.23578355811310536,0.9134906093003573,0.6298947368421053,0.9884248054027558,0.24606973826885223,0.9279438185691834,0.635,0.0005
24,0.9552683730418433,0.23300176061790198,0.9028332493948414,0.6341052631578947,1.035476438999176,0.25750172674655913,0.972468376159668,0.6125,0.00025
25,0.8747649400021492,0.2133779763479275,0.8267336910345939,0.6585263157894737,0.9832715332508087,0.24883238583803177,0.9180489110946656,0.6425,0.00025
26,0.8606988333090387,0.20975949830980814,0.813674154130096,0.6683157894736842,1.0075807589292527,0.23624337464571,0.9641717141866684,0.6,0.00025
27,0.8452102263091188,0.2074576531872404,0.7971907025046321,0.6745263157894736,1.0021106970310212,0.24823311537504197,0.9423469662666321,0.63,0.00025
28,0.829157711154082,0.20542770797882218,0.7796624905119339,0.6873684210526316,1.0505977648496627,0.24080494657158852,1.0122410070896148,0.605,0.00025
29,0.8168397320290206,0.20277067379844108,0.7675863097355974,0.6904210526315789,1.074547402858734,0.2515243509411812,1.0287787818908691,0.6225,0.00025
30,0.8047273980346994,0.20081019867525157,0.7548964848045749,0.6925263157894737,1.1040307122468949,0.25381010711193086,1.0627757358551024,0.6475,0.000125
