mse_mean,mae_mean,dei_error_mean,mse_p95,mae_p95,dei_error_p95,mse_std,mae_std,dei_error_std,n_samples,high_exchange_n_samples,high_exchange_mse_mean,high_exchange_mae_mean,high_exchange_dei_error_mean,high_exchange_mse_p95,high_exchange_mae_p95,small_separation_n_samples,small_separation_mse_mean,small_separation_mae_mean,small_separation_dei_error_mean,small_separation_mse_p95,small_separation_mae_p95,high_noise_n_samples,high_noise_mse_mean,high_noise_mae_mean,high_noise_dei_error_mean,high_noise_mse_p95,high_noise_mae_p95,low_noise_n_samples,low_noise_mse_mean,low_noise_mae_mean,low_noise_dei_error_mean,low_noise_mse_p95,low_noise_mae_p95,high_dei_n_samples,high_dei_mse_mean,high_dei_mae_mean,high_dei_dei_error_mean,high_dei_mse_p95,high_dei_mae_p95,low_dei_n_samples,low_dei_mse_mean,low_dei_mae_mean,low_dei_dei_error_mean,low_dei_mse_p95,low_dei_mae_p95,round,checkpoint
2.7716116797819267e-05,0.0004686814759625122,0.37263823867512885,4.4805831021221816e-05,0.00048271958075929433,0.64049712120715,9.525783139745247e-06,1.22548217278046e-05,0.1669014137069826,500,83,2.5396793147132464e-05,0.00046942878236814616,0.3274295539320065,4.51104191597551e-05,0.0004828178964089602,500,2.7716116797819267e-05,0.0004686814759625122,0.37263823867512885,4.4805831021221816e-05,0.00048271958075929433,144,2.8085809238594568e-05,0.00046899843073333614,0.4087916619411139,4.316790618759114e-05,0.0004825629948754795,93,2.8985378355750445e-05,0.0004682970988709399,0.34623985389444983,4.501186194829642e-05,0.00048280317569151523,91,1.707167971439808e-05,0.000467167739631035,0.31935021614596054,2.461757048877189e-05,0.00048090555355884135,143,3.326624571130012e-05,0.00046985935447477065,0.40269441059150307,4.7316845666500747e-05,0.00048144844477064906,0,active_learning_runs/al_pinn3c_v1/checkpoints/best_model_round_0.pt
2.7732525046303636e-05,0.0004685024211066775,0.3498964251645574,4.474717243283521e-05,0.0004823484283406287,0.6584853462858005,9.518071614303134e-06,1.2323273970779608e-05,0.174367359973428,500,83,2.542401941891841e-05,0.0004692782215908708,0.3040740120871991,4.5034689173917285e-05,0.00048278773610945793,500,2.7732525046303636e-05,0.0004685024211066775,0.3498964251645574,4.474717243283521e-05,0.0004823484283406287,144,2.810173507820461e-05,0.00046869469426585257,0.3831834512514216,4.315144524298375e-05,0.0004824656731216237,93,2.8980916140035237e-05,0.0004680908034099967,0.32417648161183277,4.489624916459434e-05,0.00048239566385746004,91,1.710259971582423e-05,0.00046713127636934047,0.2985831118502395,2.466425303282449e-05,0.000481542301713489,143,3.3283266783801844e-05,0.0004695603168908168,0.378401341354091,4.723927522718441e-05,0.0004813631938304752,1,active_learning_runs/al_pinn3c_v1/checkpoints/best_model_round_1.pt
2.7660637784720164e-05,0.0004684545153286308,0.40200422134225555,4.467542858037631e-05,0.0004827576209208928,0.7243159847591653,9.509126057396136e-06,1.2340353883004876e-05,0.19630747465176307,500,83,2.534328303731142e-05,0.00046929004475900746,0.3620208398624836,4.4996765427640637e-05,0.00048281740164384245,500,2.7660637784720164e-05,0.0004684545153286308,0.40200422134225555,4.467542858037631e-05,0.0004827576209208928,144,2.804000836123224e-05,0.00046873586769733165,0.4358654411294042,4.3188038398511706e-05,0.0004825117546715774,93,2.8939648336256472e-05,0.00046847012395950495,0.37854357042226106,4.492079824558459e-05,0.00048319980851374567,91,1.7037387836323464e-05,0.00046699555305467286,0.36512953293546596,2.459304414514918e-05,0.00048105011228471994,143,3.319715469333968e-05,0.00046960010203057445,0.42340158379150955,4.741810953419191e-05,0.00048185041232500224,2,active_learning_runs/al_pinn3c_v1/checkpoints/best_model_round_2.pt
