model,round,mse_mean,mae_mean,dei_error_mean,mse_p95,mae_p95,dei_error_p95,mse_improvement_%,mae_improvement_%,dei_improvement_%
Baseline,-1,2.751448202798201e-05,0.0004698563742567785,0.4995796579055697,4.387255958135937e-05,0.00048253764980472625,0.9843404260604119,,,
AL Round 0,0,2.7716116797819267e-05,0.0004686814759625122,0.37263823867512885,4.4805831021221816e-05,0.00048271958075929433,0.64049712120715,-0.7328314217661623,0.2500547738922863,25.409645333164317
AL Round 1,1,2.7732525046303636e-05,0.0004685024211066775,0.3498964251645574,4.474717243283521e-05,0.0004823484283406287,0.6584853462858005,-0.7924663749798286,0.2881631971562993,29.96183498914709
AL Round 2,2,2.7660637784720164e-05,0.0004684545153286308,0.40200422134225555,4.467542858037631e-05,0.0004827576209208928,0.7243159847591653,-0.5311957411719179,0.2983590316009113,19.531507141901642
