epoch,train_loss,val_loss,lr
1,0.005210491880654555,0.002541821752674878,0.001
2,0.0021681038172631792,0.0016976582538336515,0.001
3,0.0015702110612612085,0.0017998510436154902,0.001
4,0.001344800394742596,0.0012805984832812102,0.001
5,0.0012350736211582405,0.0010587977000977844,0.001
6,0.0011637940499555281,0.001105008212616667,0.001
7,0.0011405894353081118,0.0010329589759930967,0.001
8,0.0010799465923721397,0.0009681494149845094,0.001
9,0.001043644378993422,0.0010817621904425324,0.001
10,0.001016307219591302,0.0009929055394604803,0.001
11,0.0010049600916152651,0.0009507608436979353,0.001
12,0.0009768313135123132,0.0009426675888244062,0.001
13,0.0009692755643131763,0.00091972560971044,0.001
14,0.000953232844517745,0.0009706759126856923,0.001
15,0.0009405000864074217,0.0009441367106046527,0.001
16,0.0009263448880888171,0.0008924017217941582,0.001
17,0.0009235741273380082,0.0009260417742189019,0.001
18,0.0009144421488807853,0.0009269279229920358,0.001
19,0.0009052377439245915,0.0009136064909398556,0.001
20,0.0009015062323148968,0.000890138444956392,0.001
21,0.0008959926823871398,0.0009115629375446588,0.001
22,0.0008956884332463735,0.0009086524904705584,0.001
23,0.0008799981069417908,0.0009001774888020009,0.001
